recordid,customer_id,customer_name,region_code,status,created_ts,variance
16,CUST15,Customer_15,R31941,ACTIVE,2021-02-12,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
17,CUST16,Customer_16,R31734,ACTIVE,2022-02-23,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
18,CUST17,Customer_17,R16824,ACTIVE,2020-07-29,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
19,CUST18,Customer_18,R49319,ACTIVE,2023-09-04,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
20,CUST19,Customer_19,R13761,ACTIVE,2024-07-31,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
21,CUST20,Customer_20,R1302,INACTIVE,2025-12-26,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
22,CUST21,Customer_21,R46938,ACTIVE,2025-10-17,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
23,CUST22,Customer_22,R19866,ACTIVE,2020-09-17,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=rare_value, STATUS=common_value, CREATED_TS=common_value"
24,CUST23,Customer_23,R34206,TEST,2021-10-29,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
25,CUST24,Customer_24,R5851,TEST,2024-11-23,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
26,CUST25,Customer_25,R33953,ACTIVE,2023-12-10,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
27,CUST26,Customer_26,R17248,ACTIVE,2025-09-09,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
28,CUST27,Customer_27,R20452,ACTIVE,2021-03-28,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
29,CUST28,Customer_28,R4653,ACTIVE,2020-07-28,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
30,CUST29,Customer_29,R44311,ACTIVE,2024-06-01,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
31,CUST30,Customer_30,R14097,ACTIVE,2022-10-29,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
32,CUST31,Customer_31,R47095,ACTIVE,2025-07-07,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
33,CUST32,Customer_32,R2294,INACTIVE,2025-07-08,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
34,CUST33,Customer_33,R45041,ACTIVE,2020-06-03,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
35,CUST34,Customer_34,R9465,INACTIVE,2022-05-04,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
36,CUST35,Customer_35,R32208,ACTIVE,2025-01-13,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
37,CUST36,Customer_36,R23398,ACTIVE,2024-01-16,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
38,CUST37,Customer_37,R6348,ACTIVE,2025-01-06,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
39,CUST38,Customer_38,R2571,ACTIVE,2020-09-06,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
40,CUST39,Customer_39,R34025,ACTIVE,2020-08-27,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
41,CUST40,Customer_40,R343,ACTIVE,2021-12-21,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
42,CUST41,Customer_41,R6670,ACTIVE,2022-06-11,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
43,CUST42,Customer_42,R5527,ACTIVE,2021-01-20,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
44,CUST43,Customer_43,R18022,TEST,2022-06-14,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
45,CUST44,Customer_44,R5836,ACTIVE,2024-12-29,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
46,CUST45,Customer_45,R18960,INACTIVE,2025-04-20,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
47,CUST46,Customer_46,R21367,TEST,2021-12-16,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
48,CUST47,Customer_47,R35528,ACTIVE,2025-06-16,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
49,CUST48,Customer_48,R19608,ACTIVE,2023-02-13,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
50,CUST49,Customer_49,R12588,INACTIVE,2025-04-07,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
51,CUST50,Customer_50,R12815,TEST,2023-08-04,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
