recordid,line_id,order_id,product_id,qty,line_amount,created_ts,variance
30,L29,O522225,P58533,11,4735.01,2020-06-18,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
31,L30,O903825,P25705,4,869.48,2022-11-12,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
32,L31,O114714,P5174,11,3419.08,2024-01-06,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
33,L32,O355517,P71780,11,8070.79,2025-07-23,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
34,L33,O338201,P37205,13,10353.14,2023-11-03,"LINE_ID=rare_value, ORDER_ID=rare_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
35,L34,O364403,P63922,1,884.57,2023-05-14,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
36,L35,O415879,P39237,13,1473.9,2023-07-26,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
37,L36,O606702,P12163,8,7856.76,2024-04-30,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
38,L37,O554174,P45596,19,18419.46,2023-08-16,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=outlier, CREATED_TS=common_value"
39,L38,O998600,P92614,19,14810.25,2025-03-21,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
40,L39,O798040,P28537,10,2790.22,2024-09-16,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
41,L40,O277340,P30853,15,10839.22,2021-07-28,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
42,L41,O349133,P83985,4,3234.76,2021-05-09,"LINE_ID=rare_value, ORDER_ID=rare_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
43,L42,O761819,P69362,14,4700.21,2021-03-17,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
44,L43,O906700,P84242,16,5421.72,2022-09-16,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
45,L44,O735362,P83531,14,11089.22,2021-12-02,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
46,L45,O494424,P50659,9,3178.6,2021-05-24,"LINE_ID=rare_value, ORDER_ID=rare_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
47,L46,O971436,P17160,12,3062.32,2024-03-06,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
48,L47,O634045,P20663,16,6561.44,2023-03-30,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
49,L48,O110045,P56258,17,8722.73,2024-06-05,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
50,L49,O386956,P50358,13,1267.71,2021-08-20,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
