recordid,product_id,product_name,category,price,created_ts,variance
22,P21,Product_21,D,239.54,2020-05-23,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
23,P22,Product_22,D,778.41,2023-08-13,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
24,P23,Product_23,A,421.56,2025-12-31,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
25,P24,Product_24,D,505.12,2024-03-22,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
26,P25,Product_25,C,943.4,2024-05-11,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
27,P26,Product_26,B,903.71,2022-08-03,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
28,P27,Product_27,A,976.44,2025-11-14,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
29,P28,Product_28,D,959.09,2021-10-12,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
30,P29,Product_29,D,500.26,2025-09-21,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
31,P30,Product_30,D,299.0,2025-07-27,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
32,P31,Product_31,C,228.8,2023-07-19,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
33,P32,Product_32,A,971.58,2024-05-29,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
34,P33,Product_33,B,69.91,2023-07-01,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
35,P34,Product_34,A,765.46,2020-10-25,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
36,P35,Product_35,B,708.48,2020-04-06,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
37,P36,Product_36,D,553.21,2022-07-19,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
38,P37,Product_37,A,437.56,2022-04-11,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
39,P38,Product_38,A,872.37,2021-09-20,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
40,P39,Product_39,D,456.29,2025-07-30,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
41,P40,Product_40,D,43.02,2022-02-11,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
42,P41,Product_41,B,704.69,2022-11-11,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
43,P42,Product_42,D,338.27,2025-02-21,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
44,P43,Product_43,B,898.8,2023-08-26,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
45,P44,Product_44,C,990.84,2020-08-14,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
46,P45,Product_45,B,239.64,2023-05-20,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
47,P46,Product_46,C,869.26,2022-04-28,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
48,P47,Product_47,B,922.78,2022-10-27,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
49,P48,Product_48,C,85.05,2020-10-01,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
50,P49,Product_49,D,193.17,2022-05-13,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
